elapsed,result,converted_x,converted_y
0:04:23,-1,7.4,23.3
0:04:24,,,
0:04:28,-1,40.5,6.6
0:04:30,,,
0:04:44,-1,6.7,71.2
0:04:45,,,
0:04:53,1,23.8,86.9
0:04:53,,,
0:04:53,,,
0:04:53,1,,
0:05:06,1,24,6.1
0:05:23,-1,25,83.3
0:05:24,,,
0:05:33,-1,23,7.1
0:05:34,,,
0:05:37,1,10.9,26.3
0:05:45,-1,31.9,70.7
0:05:46,,,
0:05:53,-1,13,26.8
0:05:54,,,
0:06:01,-1,16.1,65.1
0:06:02,,,
0:06:11,-1,45.5,22.4
0:06:12,,,
0:06:19,,,
0:06:29,,,
0:06:29,,,
0:06:29,,,
0:06:29,,,
0:06:40,,,
0:06:53,1,26.7,86.2
0:07:23,-1,31.1,7.6
0:07:24,,,
0:07:24,1,23,5.8
0:07:33,-1,36.2,74.1
0:07:34,,,
0:07:49,-1,26.4,10.2
0:07:50,,,
0:07:57,-1,23.3,86.4
0:07:57,,,
0:08:08,-1,25.4,10.6
0:08:09,,,
0:08:24,1,23.8,86.4
0:08:44,-1,20.2,21.9
0:08:44,,,
0:08:55,-1,15.8,64.3
0:08:56,,,
0:09:13,-1,22.5,6.6
0:09:13,,,
0:09:13,,,
0:09:13,,,
0:09:13,,,
0:09:13,,,
0:09:29,,,
0:09:29,-1,,
0:09:29,,,
0:09:29,1,,
0:09:51,,,
0:09:51,1,,
0:09:51,-1,,
0:09:51,,,
0:10:10,1,25.4,87.7
0:10:26,-1,25.6,6.3
0:10:26,,,
0:10:31,-1,7.6,22.4
0:10:32,,,
0:10:43,,,
0:10:55,-1,22.5,7.6
0:10:55,,,
0:10:55,,,
0:11:06,,,
0:11:18,-1,39.8,77
0:11:19,,,
0:11:41,-1,14.8,9.1
0:11:42,,,
0:11:43,1,24.1,6.1
0:11:59,-1,24.3,80
0:12:00,,,
0:12:00,,,
0:00:00,,,
0:00:22,1,31.3,12.5
0:00:39,1,13,85.7
0:00:56,,,
0:00:56,,,
0:00:56,1,,
0:00:56,1,,
0:01:10,1,24.1,78
0:01:36,,,
0:01:41,-1,23.1,88.3
0:01:42,,,
0:01:49,-1,25.6,6.1
0:01:49,,,
0:01:54,,,
0:01:54,,,
0:01:54,,,
0:01:54,,,
0:02:07,-1,26.4,81.8
0:02:09,,,
0:02:16,-1,23.8,7.8
0:02:17,,,
0:02:22,-1,32.9,28.7
0:02:22,,,
0:02:29,-1,43.7,72.1
0:02:32,,,
0:02:40,-1,24.4,6.8
0:02:40,,,
0:02:40,,,
0:02:51,,,
0:02:51,,,
0:03:15,1,26.4,15.1
0:03:23,,,
0:03:23,,,
0:03:38,-1,25.1,84.3
0:03:39,,,
0:03:39,,,
0:03:39,,,
0:03:41,,,
0:03:57,-1,24.3,82.3
0:03:57,,,
0:04:03,-1,14,27.8
0:04:03,,,
0:04:08,1,18.4,77.5
0:04:30,-1,22.6,15
0:04:32,,,
0:04:43,1,22.3,5.7
0:04:53,,,
0:04:53,1,,
0:04:53,,,
0:04:53,,,
0:04:53,,,
0:04:53,,,
0:04:53,-1,,
0:04:54,,,
0:05:14,-1,25.8,4.4
0:05:14,,,
0:05:20,,,
0:05:22,1,26,86.7
0:05:44,,,
0:05:50,,,
0:05:50,1,,
0:05:50,1,,
0:06:04,1,36.4,7.6
0:06:21,-1,40,69
0:06:22,,,
0:06:33,-1,23.1,7.3
0:06:35,,,
0:06:41,1,25,88.9
0:07:05,1,26.9,7.1
0:07:20,-1,22.3,86.9
0:07:21,,,
0:07:21,-1,24.3,87.9
0:07:23,,,
0:07:26,-1,26.6,7.3
0:07:26,,,
0:07:26,,,
0:07:39,1,32.1,74.1
0:07:52,,,
0:08:03,-1,24.8,6.1
0:08:05,,,
0:08:05,-1,24.6,6.6
0:08:06,,,
0:08:12,1,25.1,87.9
0:08:34,1,25,5.1
0:08:51,-1,23.9,86.9
0:08:52,,,
0:08:57,-1,24.3,86.4
0:08:57,,,
0:09:05,1,25,5.1
0:09:24,,,
0:09:24,,,
0:09:24,,,
0:09:24,,,
0:09:45,-1,25.9,6.1
0:09:46,,,
0:09:46,1,24.9,6.8
0:10:09,-1,24.9,87.2
0:10:10,,,
0:10:27,,,
0:10:27,-1,,
0:10:27,,,
0:10:27,-1,,
0:10:28,,,
0:10:41,1,25.4,87.9
0:10:52,1,44.9,22
0:11:03,1,25.1,86.9
0:11:03,,,
0:11:11,-1,25.2,8.1
0:11:13,,,
0:11:32,-1,42.1,69
0:11:33,,,
0:11:40,,,
0:11:40,1,,
0:11:40,,,
0:11:40,,,
0:11:40,-1,,
0:11:40,,,
0:11:40,,,
0:11:40,-1,,
0:11:40,,,
0:11:40,,,
0:11:40,-1,,
0:11:41,,,
0:11:41,,,
0:11:48,-1,44.6,25.3
0:11:48,,,
0:11:48,,,
0:11:48,1,,
0:11:48,1,,
0:11:52,,,
0:11:52,-1,,
0:11:52,,,
0:11:52,1,,
0:11:52,1,,
0:11:52,,,
0:11:52,1,,
0:11:52,1,,
0:11:52,,,
0:11:56,-1,47.2,17.4
0:11:56,,,
0:12:00,,,
